,activity_type,date,title,distance,calories,time,avg_hr,max_hr,avg_cadence,max_cadence,avg_pace,best_pace,total_ascent,total_descent,avg_stride,moving_time,elapsed_time,min_elevation,max_elevation,temp,humidity,wind,year,month,elev_diff,pace_str,pace_min,pace_sec,avg_pace_int
121,Running,2021-02-23,Shawnee Running,3.0,291,00:30:43,151,185,152,181,10:14,7:44,95,120,1.03,00:30:36,00:33:36,780,902,68,23,18,2021,02,122,10:14,10,14,10.233333333333333
122,Running,2021-02-22,Shawnee Running,3.0,304,00:29:37,160,180,157,187,9:52,7:16,96,123,1.04,00:29:32,00:30:45,780,904,61,29,17,2021,02,124,9:52,9,52,9.866666666666667
123,Running,2021-02-03,Shawnee Running,3.01,282,00:25:46,165,185,172,185,8:34,7:17,96,123,1.1,00:25:32,00:27:27,780,904,57,41,17,2021,02,124,8:34,8,34,8.566666666666666
124,Running,2021-02-01,Shawnee Running,3.0,268,00:25:21,161,182,174,187,8:27,7:01,93,122,1.1,00:25:06,00:27:36,781,906,37,65,5,2021,02,125,8:27,8,27,8.45
125,Running,2021-01-29,Shawnee Running,4.0,378,00:35:00,163,185,174,187,8:45,7:19,155,160,1.06,00:34:46,00:37:34,780,923,50,58,13,2021,01,143,8:45,8,45,8.75
126,Running,2021-01-18,Shawnee Running,4.0,360,00:37:30,151,178,165,189,9:22,7:18,149,144,1.04,00:37:20,00:40:38,780,926,46,46,10,2021,01,146,9:22,9,22,9.366666666666667
127,Running,2021-01-12,Shawnee Running,3.0,279,00:26:13,163,190,171,185,8:44,7:46,98,122,1.08,00:26:02,00:27:13,780,903,48,46,10,2021,01,123,8:44,8,44,8.733333333333333
128,Running,2021-01-08,Shawnee Running,4.0,376,00:35:11,163,184,174,189,8:47,7:16,115,119,1.05,00:34:58,00:40:24,780,916,37,56,7,2021,01,136,8:47,8,47,8.783333333333333
129,Running,2021-01-05,Shawnee Running,3.0,295,00:27:40,162,181,166,186,9:13,7:35,96,124,1.05,00:27:29,00:29:46,780,905,45,66,9,2021,01,125,9:13,9,13,9.216666666666667
130,Running,2020-12-28,Shawnee Running,4.0,383,00:35:21,164,183,172,183,8:50,7:44,92,121,1.06,00:35:03,00:37:33,778,906,36,51,3,2020,12,128,8:50,8,50,8.833333333333334
131,Running,2020-12-22,Shawnee Running,3.0,281,00:28:20,156,184,162,185,9:26,7:50,94,120,1.05,00:28:08,00:29:52,780,903,64,28,20,2020,12,123,9:26,9,26,9.433333333333334
132,Running,2020-12-21,Shawnee Running,4.0,396,00:37:07,164,185,164,194,9:16,7:18,153,149,1.06,00:36:57,00:39:59,780,923,57,24,14,2020,12,143,9:16,9,16,9.266666666666667
